BANK_NAME,PRODUCT_NAME,INTEREST_RATE,COMPOUNDING_FREQUENCY,PRODUCT_WEBSITE,ADDITIONAL_INFO
Ally Bank,Online Savings (HYSA),3.3,daily compounding (credited monthly),https://www.ally.com/bank/online-savings-account/,APY variable; no minimum; FDIC insured; see Ally rate/disclosure page for details.
Capital One 360,360 Performance Savings (HYSA),3.4,daily compounding (credited monthly),https://www.capitalone.com/bank/savings-accounts/online-performance-savings-account/,APY variable; no monthly fees; FDIC insured; product tiers/disclosures on site.
Marcus by Goldman Sachs,Online Savings (HYSA),3.95,daily compounding (credited monthly),https://www.marcus.com/us/en/savings/high-yield-savings,APY variable; no monthly fees; FDIC insured; see Marcus disclosures for limits/terms.
Discover Bank,Online Savings (HYSA),3.4,daily compounding (credited monthly),https://www.discover.com/online-banking/savings-account/,APY variable; no minimum; FDIC insured; see Discover disclosures.
American Express National Bank,High Yield Savings (HYSA),3.4,daily compounding (credited monthly),https://www.americanexpress.com/en-us/banking/online-savings/high-yield-savings-account/,APY variable; no monthly fees; FDIC insured; checking availability limited.
Synchrony Bank,High-Yield Savings (HYSA),3.65,daily compounding (credited monthly),https://www.synchrony.com/banking/products/high-yield-savings,APY variable; no monthly fees; FDIC insured; see product disclosures.
SoFi Bank,SoFi Savings (HYSA),4.3,daily compounding (credited monthly),https://www.sofi.com/banking/savings-account/,Promotional/boost conditions apply; APY variable; FDIC insured.
CIT Bank,Savings Connect (HYSA),3.65,daily compounding (credited monthly),https://www.cit.com/cit-bank/bank/savings,APY variable; $100 min opening on some products; FDIC insured.
Quontic Bank,High Yield Savings (HYSA),3.75,daily compounding (credited monthly),https://www.quonticbank.com/personal-banking/savings-accounts/,APY variable; $100 min opening; FDIC insured.
Alliant Credit Union,High-Rate Savings (HYSA),3.1,daily compounding (credited monthly),https://www.alliantcreditunion.org/banking/savings/high-rate-savings,NCUA insured; membership required; APY varies.
Axos Bank,Axos ONE / High-Yield Savings,4.51,daily compounding (credited monthly),https://www.axosbank.com/personal/bank/axos-one,APY tiered; qualifying activity required; FDIC insured.
Varo Bank,Varo Savings,5,daily compounding (credited monthly),https://www.varomoney.com/savings-account/,Qualifying direct deposit required; APY applies to capped balances; FDIC insured.
Chime,Chime Savings,3.5,daily compounding (credited monthly),https://www.chime.com/savings/high-yield-savings-account/,Chime+ required for boosted APY; FDIC insured via partners.
NBKC Bank,Everything Account / Savings,1.75,daily compounding,https://www.nbkc.com/personal/checking-savings-rates,Tiered APYs; FDIC insured; see NBKC rate page.
Bank5 Connect,Connect Savings,1.49,daily compounding (credited monthly),https://www.bank5connect.com/rates,APY varies by balance; FDIC insured.
Vio Bank,Online Savings,4.16,daily compounding (credited monthly),https://www.viobank.com/online-savings-account,APY variable; $100 min; FDIC insured.
UFB Direct,UFB Portfolio Savings,3.51,daily compounding (credited monthly),https://www.ufbdirect.com/savings,APY variable; no maintenance fees; FDIC insured.
First Internet Bank,Money Market / Savings,3.25,daily compounding,https://www.firstib.com/personal/bank/money-market-savings-accounts/,APY varies by product/balance; FDIC insured.
EverBank,Performance Savings,4.05,daily compounding (credited monthly),https://www.everbank.com/banking/performance-savings,APY for new accounts; FDIC insured.
